TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,4.1,4.03,245.5976619103, ,0, ,0,-0.2
1,3, ,autonomous,0,1,0,1.5559624628,1,0,-4.250870464,20,0,20,-4.250870464,1,1.1006632961,3.73,3.76,246.7795271704, ,0, ,0,-0.3
2,3, ,autonomous,0,1,0,1.5559624628,1,0,-2.6401533144,20,0,20,-2.6401533144,1,3.0641576302,3.37,3.37,247.0538824518, ,0, ,0,-0.3
3,3, ,autonomous,0,1,0,1.5559624628,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,3.43,3.38,248.5274747123, ,0, ,0,-0.3
4,4, ,autonomous,0,1,0,1.5669489586,1,0,-1.3673020744,20,0,20,-1.3673020744,1,4.9220544556,3.58,3.51,249.8313638294, ,0, ,0,-0.3
5,4,cyclist alarm,autonomous,0,1,0,1.5669489586,1,0,-1.0871471231,20,0,20,-1.0871471231,1,5.5678538734,3.47,3.41,251.2436560977, ,0,false alarm,37.9906578064,-0.3
6,5,cyclist alarm,autonomous,0,1,0,1.5669489586,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,3.24,3.18,252.2895274617, ,0,false alarm,31.9278945923,-0.4
7,5,cyclist alarm,autonomous,0,1,0,1.5669489586,1,0,-0.6111120046,20,0,20,-0.6111120046,1,7.0058866267,3.24,3.32,253.8264334848, ,0,false alarm,25.5967979431,-0.4
8,5,cyclist alarm,autonomous,0,1,0,1.5751888304,1,0,-0.439822629,20,0,20,-0.439822629,1,7.492685155,2.98,3.03,254.9914577862, ,0,false alarm,18.6075611115,-0.4
9,5, ,autonomous,0,1,0,1.5751888304,1,0,-0.3061486915,20,0,20,-0.3061486915,1,7.8946525755,5,3.72,256.1672259651, ,0, ,0,-0.2
10,5, ,autonomous,0,1,0,1.5751888304,1,0,-0.2091058256,20,0,20,-0.2091058256,1,8.2316245441,3.45,3.47,257.3538873305, ,0, ,0,-0.3
11,5, ,autonomous,0,1,0,1.5751888304,1,0,-0.1432081844,20,0,20,-0.1432081844,1,8.5492553782,3.94,4.12,257.652272493, ,0, ,0,-0.2
12,5, ,autonomous,0,1,0,1.5834287022,1,0,-0.094500822,20,0,20,-0.094500822,1,8.8657202164,3.19,3.22,257.9513503753, ,0, ,0,-0.4
13,5, ,autonomous,0,1,0,1.5834287022,1,0,-0.0607624024,20,0,20,-0.0607624024,1,9.1813648794,3.25,3.31,258.6519062645, ,0, ,0,-0.4
14,5, ,autonomous,0,1,0,1.5834287022,1,0,-0.0429562836,20,0,20,-0.0429562836,1,9.6906158377,2.98,3.04,259.3562777187, ,0, ,0,-0.4
15,5, ,autonomous,0,1,0,1.591668574,1,0,-0.0213437161,20,0,20,-0.0213437161,1,10.0182550428,2.91,2.99,259.7605008182, ,0, ,0,-0.4
16,5, ,autonomous,0,1,0,1.591668574,1,0,-0.0206823721,20,0,20,-0.0206823721,1,10.3108668157,5,5,260.4709314441, ,0, ,0,0
17,5, ,autonomous,0,1,0,1.591668574,1,0,-0.0073685071,20,0,20,-0.0073685071,1,10.5739091609,3.01,3,261.5952075758, ,0, ,0,-0.4
18,5, ,autonomous,0,1,0,1.591668574,1,0,-0.0082435262,20,0,20,-0.0082435262,1,10.8097219419,3.17,3.16,262.3157232044, ,0, ,0,-0.4
19,5, ,autonomous,0,1,0,1.591668574,1,0,-0.0070854636,20,0,20,-0.0070854636,1,11.0239140802,3.46,3.44,263.1440450503, ,0, ,0,-0.3
20,5, ,autonomous,0,1,0,1.591668574,1,0,0.000956535,20,0,20,0.000956535,1,11.2316557686,3.65,3.69,264.0821823752, ,0, ,0,-0.3
21,5,obstacle alarm,autonomous,0,1,0,1.591668574,1,0,48.0561358588,20,0,20,48.0561358588,1,11.4379551761,3.91,3.94,265.1324336506,obstacle detected,35.827796936,obstacle detected,33.5480575562,-0.2
